IC SCI 6D,DISCRET MATH FOR CS,IC SCI 6B
IC SCI 32,PROG SOFTWARE LIBR,IC SCI 31,CSE 41
IC SCI 32A,PYTHN PGMG LIBR/ACC,AP COMP SCI A
IC SCI 33,INTERMEDIATE PRGRMG,IC SCI 32,CSE 42
IC SCI 45C,PROGRAM IN C/C++,IC SCI 22,CSE 22,IN4MATX 42,IC SCI 33,CSE 43,EECS 40
IC SCI 45J,PROGRAMMING IN JAVA,IC SCI 33,CSE 43, AND,NO IC SCI 22, AND,NO CSE 22, AND,NO IC SCI 23, AND,NO CSE 23, AND,NO IN4MATX 45
IC SCI 46,DATA STRC IMPL&ANLS;,CSE 45C,IC SCI 45C
IC SCI 51,INTRO COMPUTER ORG,IC SCI 21,IC SCI H21,CSE 21,IN4MATX 42,AP COMP SCI A,AP COMP SCI AB,IC SCI 31,CSE 41, AND,IC SCI 6B
IC SCI 53,PRINCP IN SYS DESGN,IC SCI 51
IC SCI 53L,SYSTEM DESIGN LAB,IC SCI 51, AND,IC SCI 53
IC SCI 139W,CRITICAL WRITING,UPPER DIVISION STANDING ONLYANDLOWER DIVISION WRITING
IC SCI 161,GAME ENGINE LAB,IC SCI 45C,CSE 45C
IC SCI 162,MODELNG &WORLD; BLDG,COMPSCI 112
IC SCI 166,GAME DESIGN,IC SCI 61, AND,IN4MATX 43,IC SCI 52
IC SCI 167,MULTIPLAYER SYSTEMS,IC SCI 51
IC SCI 169B,CAPSTONE GAME II,IC SCI 169A
