CSE 31L,INTRO DIG LOGIC LAB,EECS 31,CSE 31, AND,EECS 10,EECS 12,CSE 22,IC SCI 22,CSE 42,IC SCI 32
CSE 42,PROG SOFTWARE LIBR,IC SCI 31,CSE 41
CSE 43,INTERMEDIATE PRGRMG,IC SCI 32,CSE 42
CSE 45C,PROGRAM IN C/C++,IC SCI 22,CSE 22,IN4MATX 42,IC SCI 33,CSE 43,EECS 40
CSE 46,DATA STRC IMPL&ANLS;,CSE 45C,IC SCI 45C
CSE 70A,NETWORK ANALYSIS I,MATH 3D, AND,PHYSICS 7D, AND,EECS 10,EECS 12,ENGRMAE 10,CSE 21,IC SCI 21,IC SCI H21,CSE 41,IC SCI 31,AP COMP SCI A,AP COMP SCI AB
CSE 132L,ORG DIGITL COMP LAB,EECS 112,CSE 132
CSE 135B,DSP DESIGN & LAB,EECS 22,CSE 45C,IC SCI 45C, AND,EECS 152A,CSE 135A
CSE 142,COMPILERS&INTPRETER;,CSE 141,COMPSCI 141,IN4MATX 101
CSE 145,EMBEDDED SOFTWARE,CSE 46,IC SCI 46, AND,IC SCI 51,CSE 132,EECS 112
CSE 145L,EMBEDD SOFTWARE LAB,CSE 145,COMPSCI 145
CSE 161,DES&ANALYS; OF ALGOR,CSE 23,IC SCI 23,IC SCI H23,IC SCI 46,CSE 46, AND,IC SCI 6B, AND,IC SCI 6D, AND,MATH 2B,AP CALCULUS BC
