CBEMS 45B,CHEM PROC & ENERGY,CBEMS 45A C-,PHYSICS 7E, AND,MATH 2J,MATH 3A
CBEMS 65A,THERMO OF MATERIALS,ENGR 1A,CHEM 1A, AND,PHYSICS 7C
CBEMS 110,REACTION KINETICS,CHEM 1C, AND,MATH 3D, AND,CBEMS 45B C-, AND,CBEMS 45C C-
CBEMS 112,INTRO BIOCHEM ENGR,CHEM 1C, AND,MATH 3D, AND,CBEMS 110
CBEMS 125B,HEAT TRANSFER,CBEMS 125A C-
CBEMS 140B,CHEM ENGR LAB (II),CBEMS 130, AND,CBEMS 135, AND,CBEMS 140A
CBEMS 149A,CHEM ENGR DESIGN I,CBEMS 110, AND,CBEMS 125C, AND,CBEMS 130
CBEMS 155,MECH BEH/DES PRIN,ENGR 54
CBEMS 155L,MECH BEHAVIOR LAB,CBEMS 155, AND,ENGR 54
CBEMS 164,XRD SEM &MICROANLYS;,ENGR 54
CBEMS 165,MAT KIN & PHASE TRN,ENGR 54, AND,ENGRMAE 91 C-,CBEMS 45C C-,CBEMS 65B C-
CBEMS 169,ELECTRNC OPTIC PROP,PHYSICS 7D, AND,PHYSICS 7E, AND,MATH 3A,MATH 2J, AND,MATH 3D
