KOREAN 1B,FUNDAMENTALS,K, EAN 1A,PLACEMENT EXAM SOC /
KOREAN 2B,INTERMEDIATE,K, EAN 2A,PLACEMENT EXAM SOC /
KOREAN 2KB,INTERM BACKGROUND,K, EAN 2KA,PLACEMENT EXAM SOC /
KOREAN 3B,ADVANCED,K, EAN 3A,PLACEMENT EXAM SOC /
