CHINESE 1B,FUNDAMNTLS MANDARIN,CHINESE 1A,PLACEMENT EXAM SOC /
CHINESE 1MB,FUND CHINESE/BKGRND,CHINESE 1MA,PLACEMENT EXAM SOC /
CHINESE 2B,INTERMED MANDARIN,CHINESE 2A,PLACEMENT EXAM SOC /
CHINESE 3B,ADVANCED MANDARIN,CHINESE 3A
CHINESE 100B,CLASSICAL CHINESE,CHINESE 3C,JAPANSE 3C,K, EAN 3C
CHINESE 115,JIN PING MEI,CHINESE 101A,CHINESE 101B,CHINESE 101C
